gene_id,pyrEplusFe2,pyrEplusFe3,troRplusFe1,troRplusFe2,troRplusFe3
HVO_RS02895,270,314,414,377,328
HVO_RS02900,1113,1433,1587,1380,1095
HVO_RS02905,49,87,128,121,84
HVO_RS02910,0,0,0,0,0
HVO_RS02920,12,22,18,20,17
HVO_RS02930,559,886,683,547,432
HVO_RS02935,497,662,852,588,523
HVO_RS02940,1130,1704,1878,1366,1190
HVO_RS02945,1,2,7,15,4
HVO_RS02955,272,398,498,308,289
HVO_RS02960,0,0,0,0,0
HVO_RS02965,725,988,885,592,606
HVO_RS02970,544,645,538,392,351
HVO_RS02975,90,142,368,269,168
HVO_RS02980,353,551,265,224,191
HVO_RS02985,596,866,1576,1386,873
HVO_RS02990,2,1,1,2,0
HVO_RS02995,0,0,0,0,0
HVO_RS03000,28,30,69,58,40
HVO_RS03005,5,11,19,13,12
HVO_RS03010,61,97,119,130,83
HVO_RS03020,173,261,528,427,285
HVO_RS03045,2,2,9,16,11
HVO_RS03050,36,47,106,87,43
HVO_RS03055,98,85,62,66,44
HVO_RS03060,360,463,678,532,418
HVO_RS03065,17,15,34,32,21
HVO_RS03070,73,53,126,123,63
HVO_RS03080,0,0,0,0,0
HVO_RS03085,39,76,89,56,47
HVO_RS03090,31,39,59,45,37
HVO_RS03100,3,3,5,8,4
HVO_RS03105,33,21,88,81,43
HVO_RS03110,3,7,16,6,8
HVO_RS03115,1,1,4,5,2
HVO_RS03120,37,34,125,100,69
HVO_RS03125,28,30,63,53,32
HVO_RS03130,88,115,235,203,116
HVO_RS03135,11,19,46,47,29
HVO_RS03145,78,101,338,356,142
HVO_RS03150,7,15,19,25,10
HVO_RS03155,47,89,47,40,66
HVO_RS03160,24,26,21,14,71
HVO_RS03165,10,12,31,14,35
HVO_RS03170,3,3,6,8,31
HVO_RS03175,29,21,51,43,40
HVO_RS03180,2,9,14,6,19
HVO_RS03185,2,1,11,7,8
HVO_RS03190,7,18,26,35,142
HVO_RS03195,1,5,3,5,33
HVO_RS03200,29,67,74,58,203
HVO_RS03205,26,18,68,44,28
HVO_RS03210,78,133,213,164,168
HVO_RS03215,9,15,26,20,24
HVO_RS03220,6,12,20,15,46
HVO_RS03225,5,17,29,18,79
HVO_RS03230,214,275,306,249,185
HVO_RS03240,19,45,105,111,50
HVO_RS03245,129,186,265,201,171
HVO_RS03250,239,307,430,356,244
HVO_RS03255,269,400,518,347,274
HVO_RS03260,552,808,798,528,510
HVO_RS03265,140,240,189,142,119
HVO_RS03270,3344,4661,4739,3734,4326
HVO_RS03275,1911,2568,3338,2451,2928
HVO_RS03280,522,794,1662,1329,1430
HVO_RS03285,12329,15818,15800,10521,15271
HVO_RS03290,46,96,222,171,111
HVO_RS03295,119,172,260,187,157
HVO_RS03300,107,182,286,212,130
