"","variable","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","strain","name","media","condition","techrep","biorep","ID"
"87","178",0.805946014228075,0.277355910173039,0.0559814744080499,11.5200918170609,12.3817242737764,37.733042691733,37.3669866666667,0.0155818695369987,"SH118","idr","PR","(250Fe)",3,3,"idr ((250Fe))"
"88","179",0.754275713807261,0.281371773340398,0.0645199465790633,8.04736330410516,10.7431456055308,37.7928357443608,37.4687441666667,0.0317875196567517,"SH119","sirR","PR","(250Fe)",1,1,"sirR ((250Fe))"
"89","18",3.45640169280523,0.290438691000654,0.00596671081770112,400.357939190856,116.169058923322,22.6151183811525,22.4204441666667,0.00686680494573585,"SH118","idr","PR","(--Fe)",2,2,"idr ((--Fe))"
"90","180",0.606919536086071,0.282766911269999,0.0910204545187311,1.50066868666612,7.61529025783213,34.3775392520355,34.0947433333333,0.0210166931828542,"SH119","sirR","PR","(250Fe)",2,1,"sirR ((250Fe))"
"91","181",0.629154503746259,0.262530817441239,0.08609728941679,3.87895451093469,8.05074335388744,34.5460185033262,34.260255,0.0302632691765442,"SH119","sirR","PR","(250Fe)",3,1,"sirR ((250Fe))"
"92","182",0.713231973387466,0.262566827185505,0.0650030159732554,8.31067538394069,10.6633080047414,35.6674373228061,35.3594866666667,0.0314943391824412,"SH119","sirR","PR","(250Fe)",1,2,"sirR ((250Fe))"
"93","183",0.755615483622871,0.259602247353028,0.0616098440172387,10.5089045581615,11.2505913887073,36.4317476560011,36.1009866666667,0.0261890169818594,"SH119","sirR","PR","(250Fe)",2,2,"sirR ((250Fe))"
"94","184",0.768260867041678,0.259068941626692,0.0596299913892141,11.3320626626828,11.6241368548197,36.4464537929011,36.1119916666667,0.0264326197611698,"SH119","sirR","PR","(250Fe)",3,2,"sirR ((250Fe))"
"95","185",0.778628548833816,0.26371999656046,0.0562504627010762,11.8950380701463,12.3225151807806,36.3057045801239,35.9639975,0.0244844316076456,"SH119","sirR","PR","(250Fe)",1,3,"sirR ((250Fe))"
"96","186",0.769445991379038,0.269019019796027,0.0575481247765029,10.7854008611564,12.0446527710832,36.5408722460455,36.20375,0.0259611755761546,"SH119","sirR","PR","(250Fe)",2,3,"sirR ((250Fe))"
"97","187",0.79310781238175,0.266372775616935,0.0578842371028272,11.7786972737388,11.9747139334085,37.2179534792488,36.8644966666667,0.0210868819776237,"SH119","sirR","PR","(250Fe)",3,3,"sirR ((250Fe))"
"98","188",0.944575174099755,0.305302247234859,0.0295166058138415,25.0377439394057,23.4832956381082,33.8319618081401,33.50055,0.0318014135580141,"SH117","troR","PR","(250Fe)",1,1,"troR ((250Fe))"
"99","189",0.800434373497607,0.30902563425921,0.0355338924309183,13.0537911931295,19.5066493744669,33.8919196997819,33.5752875,0.0275803856040978,"SH117","troR","PR","(250Fe)",2,1,"troR ((250Fe))"
"100","19",0.650285136565061,0.288599728148296,0.0113359201847802,19.913168796111,61.1460886510629,22.6227540008608,22.4311975,0.00788570153838268,"SH118","idr","PR","(--Fe)",3,2,"idr ((--Fe))"
"101","190",0.684260787255079,0.315876523374475,0.0353821782417346,4.34612022028649,19.5902913558429,31.6668616525915,31.3847783333333,0.0253640032631845,"SH117","troR","PR","(250Fe)",3,1,"troR ((250Fe))"
"102","191",0.6354767816395,0.301628234500724,0.0437350484798737,2.320614576021,15.848780432447,31.3864472346648,31.1065158333333,0.0213182646499415,"SH117","troR","PR","(250Fe)",1,2,"troR ((250Fe))"
"103","192",0.68764346739447,0.284048640708297,0.0404239066974671,8.68956035118347,17.1469617161811,31.3196015379324,31.02601,0.0221739477254794,"SH117","troR","PR","(250Fe)",2,2,"troR ((250Fe))"
"104","193",0.741666500277,0.299946605122539,0.0354429331634598,10.9209777347097,19.5567104269618,32.1359985168739,31.8320275,0.0220010965742881,"SH117","troR","PR","(250Fe)",3,2,"troR ((250Fe))"
